target,text,,label
delivery,"the freshest , best variety , and the fastest delivery","the freshest , best variety , and the fastest MASK",2
service,the service was excellent and the food was delicious,the MASK was excellent and the food was delicious,2
food,the service was excellent and the food was delicious,the service was excellent and the MASK was delicious,2
sushi,"we are very particular about sushi and were both please with every choice which included ceviche mix special , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura","we are very particular about MASK and were both please with every choice which included ceviche mix special , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura",2
ceviche mix special,"we are very particular about sushi and were both please with every choice which included ceviche mix special , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura","we are very particular about sushi and were both please with every choice which included MASK , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura",2
crab dumplings,"we are very particular about sushi and were both please with every choice which included ceviche mix special , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura","we are very particular about sushi and were both please with every choice which included ceviche mix special , MASK , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura",2
assorted sashimi,"we are very particular about sushi and were both please with every choice which included ceviche mix special , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura","we are very particular about sushi and were both please with every choice which included ceviche mix special , crab dumplings , MASK , sushi and rolls , two types of sake , and the banana tempura",2
sushi,"we are very particular about sushi and were both please with every choice which included ceviche mix special , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura","we are very particular about MASK and were both please with every choice which included ceviche mix special , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura",2
rolls,"we are very particular about sushi and were both please with every choice which included ceviche mix special , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura","we are very particular about sushi and were both please with every choice which included ceviche mix special , crab dumplings , assorted sashimi , sushi and MASK , two types of sake , and the banana tempura",2
sake,"we are very particular about sushi and were both please with every choice which included ceviche mix special , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura","we are very particular about sushi and were both please with every choice which included ceviche mix special , crab dumplings , assorted sashimi , sushi and rolls , two types of MASK , and the banana tempura",2
banana tempura,"we are very particular about sushi and were both please with every choice which included ceviche mix special , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura","we are very particular about sushi and were both please with every choice which included ceviche mix special , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the MASK",2
spot,definitely a great spot for a nice occasion or date,definitely a great MASK for a nice occasion or date,2
thai food,"average to good thai food , but terrible delivery","average to good MASK , but terrible delivery",2
delivery,"average to good thai food , but terrible delivery","average to good thai food , but terrible MASK",0
thai restaurant,a thai restaurant out of rice during dinner,a MASK out of rice during dinner,0
food,"the food arrived 20 minutes after i called , cold and soggy","the MASK arrived 20 minutes after i called , cold and soggy",0
place,this is a wonderful place on all stand points especially value ofr money,this is a wonderful MASK on all stand points especially value ofr money,2
place,this is a wonderful place on all stand points especially value ofr money,this is a wonderful MASK on all stand points especially value ofr money,2
service,an excellent service,an excellent MASK,2
waiter,we were greeted promptly by the waiter who was very nice and cordial,we were greeted promptly by the MASK who was very nice and cordial,2
dishes,she was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about indian food,she was very helpful in suggesting us drinks and helped us in ordering a lot of good MASK since we knew nothing about indian food,2
food,the food looked very appetizing and delicious since it came on a variety of fancy plates,the MASK looked very appetizing and delicious since it came on a variety of fancy plates,2
gulab jamun dessert,we ended our great experience by having gulab jamun dessert recommended by the waiter,we ended our great experience by having MASK recommended by the waiter,2
restaurant,i thanked my friend who recommended me this restaurant and will certainly recommend it to others,i thanked my friend who recommended me this MASK and will certainly recommend it to others,2
service,"service here was great , food was fantastic","MASK here was great , food was fantastic",2
food,"service here was great , food was fantastic","service here was great , MASK was fantastic",2
appetizer,"appetizer was really great , we both had the filet , very good , did n't much like the frites that came with , but the filet was so good , neither of us cared","MASK was really great , we both had the filet , very good , did n't much like the frites that came with , but the filet was so good , neither of us cared",2
filet,"appetizer was really great , we both had the filet , very good , did n't much like the frites that came with , but the filet was so good , neither of us cared","appetizer was really great , we both had the MASK , very good , did n't much like the frites that came with , but the filet was so good , neither of us cared",2
frites,"appetizer was really great , we both had the filet , very good , did n't much like the frites that came with , but the filet was so good , neither of us cared","appetizer was really great , we both had the filet , very good , did n't much like the MASK that came with , but the filet was so good , neither of us cared",0
place,you can not go wrong with this place,you can not go wrong with this MASK,2
food,"the food is outstanding and the service is quick , friendly and very professional","the MASK is outstanding and the service is quick , friendly and very professional",2
service,"the food is outstanding and the service is quick , friendly and very professional","the food is outstanding and the MASK is quick , friendly and very professional",2
crowd,"always a nice crowd , but never loud","always a nice MASK , but never loud",2
pizza place,i am reluctant to write because i would not want my jem of a pizza place to become overcrowded,i am reluctant to write because i would not want my jem of a MASK to become overcrowded,2
pizza,"by far , the best pizza in manhattan","by far , the best MASK in manhattan",2
crust,"the crust is thin , the ingredients are fresh and the staff is friendly","the MASK is thin , the ingredients are fresh and the staff is friendly",2
staff,"the crust is thin , the ingredients are fresh and the staff is friendly","the crust is thin , the ingredients are fresh and the MASK is friendly",2
ingredients,"the crust is thin , the ingredients are fresh and the staff is friendly","the crust is thin , the MASK are fresh and the staff is friendly",2
menu,the menu has so many fish items and oysters,the MASK has so many fish items and oysters,2
fish,"the fish was really , really fresh","the MASK was really , really fresh",2
mare,we all agreed that mare is one of the best seafood restaurants in new york,we all agreed that MASK is one of the best seafood restaurants in new york,2
pizzeria,i stumbled upon this great pizzeria as i explored my new neighborhood,i stumbled upon this great MASK as i explored my new neighborhood,2
pizzas,all of the pizzas are terrific and the price is even better !,all of the MASK are terrific and the price is even better !,2
pizzas,all of the pizzas are terrific and the price is even better !,all of the MASK are terrific and the price is even better !,2
sophia pizza,i highly recommend the sophia pizza,i highly recommend the MASK,2
food,the food was mediocre at best but it was the horrible service that made me vow never to go back,the MASK was mediocre at best but it was the horrible service that made me vow never to go back,0
service,the food was mediocre at best but it was the horrible service that made me vow never to go back,the food was mediocre at best but it was the horrible MASK that made me vow never to go back,0
waiter,"immediately after we paid , the waiter took the money and said , okay , you guys are outta here","immediately after we paid , the MASK took the money and said , okay , you guys are outta here",0
food,"for the people who want great food plus great service , roxy is a place to avoid !","for the people who want great MASK plus great service , roxy is a place to avoid !",0
service,"for the people who want great food plus great service , roxy is a place to avoid !","for the people who want great food plus great MASK , roxy is a place to avoid !",0
blond wood decor,"the blond wood decor is very soothing , the premium sake is excellent and the service is great","the MASK is very soothing , the premium sake is excellent and the service is great",2
premium sake,"the blond wood decor is very soothing , the premium sake is excellent and the service is great","the blond wood decor is very soothing , the MASK is excellent and the service is great",2
service,"the blond wood decor is very soothing , the premium sake is excellent and the service is great","the blond wood decor is very soothing , the premium sake is excellent and the MASK is great",2
mizu,mizu is the japenese find in grammercy,MASK is the japenese find in grammercy,2
kitchen food,"while their kitchen food is delicious , their sushi is out of this world","while their MASK is delicious , their sushi is out of this world",2
sushi,"while their kitchen food is delicious , their sushi is out of this world","while their kitchen food is delicious , their MASK is out of this world",2
rolls,mizu is home to creative and unique rolls not to found anywhere else,mizu is home to creative and unique MASK not to found anywhere else,2
cuisine,"not only is the cuisine the best around , the service has always been attentive and charming","not only is the MASK the best around , the service has always been attentive and charming",2
service,"not only is the cuisine the best around , the service has always been attentive and charming","not only is the cuisine the best around , the MASK has always been attentive and charming",2
mizu,warning you may find it difficult to dine at other japanese restaurants after a visit to mizu !,warning you may find it difficult to dine at other japanese restaurants after a visit to MASK !,2
people,"thalia is a beautiful restaurant with beautiful people serving you , but the food does n't quite match up","thalia is a beautiful restaurant with beautiful MASK serving you , but the food does n't quite match up",2
food,"thalia is a beautiful restaurant with beautiful people serving you , but the food does n't quite match up","thalia is a beautiful restaurant with beautiful people serving you , but the MASK does n't quite match up",0
thalia,"thalia is a beautiful restaurant with beautiful people serving you , but the food does n't quite match up","MASK is a beautiful restaurant with beautiful people serving you , but the food does n't quite match up",2
smoked salmon and roe appetizer,i ordered the smoked salmon and roe appetizer and it was off flavor,i ordered the MASK and it was off flavor,0
entree,"the entree was bland and small , dessert was not inspired","the MASK was bland and small , dessert was not inspired",0
entree,"the entree was bland and small , dessert was not inspired","the MASK was bland and small , dessert was not inspired",0
dessert,"the entree was bland and small , dessert was not inspired","the entree was bland and small , MASK was not inspired",0
menu,i expected quite a bit more from such an expensive menu,i expected quite a bit more from such an expensive MASK,0
menu,i expected quite a bit more from such an expensive menu,i expected quite a bit more from such an expensive MASK,0
view,"the view is spectacular , and the food is great","the MASK is spectacular , and the food is great",2
food,"the view is spectacular , and the food is great","the view is spectacular , and the MASK is great",2
strawberry daiquiries,wonderful strawberry daiquiries as well !,wonderful MASK as well !,2
taiwanese food,authentic taiwanese food that 's cheap what more could you ask for,authentic MASK that 's cheap what more could you ask for,2
taiwanese food,authentic taiwanese food that 's cheap what more could you ask for,authentic MASK that 's cheap what more could you ask for,2
cold appetizer dishes,the cold appetizer dishes taste like the way i remember them to taste when i was growing up in taiwan,the MASK taste like the way i remember them to taste when i was growing up in taiwan,2
food,delicious simple food in nice outdoor atmosphere,delicious simple MASK in nice outdoor atmosphere,2
food,delicious simple food in nice outdoor atmosphere,delicious simple MASK in nice outdoor atmosphere,2
outdoor atmosphere,delicious simple food in nice outdoor atmosphere,delicious simple food in nice MASK,2
wait staff,"kind , attentive wait staff","kind , attentive MASK",2
scallops,i really like both the scallops and the mahi mahi on saffron risotto yum !,i really like both the MASK and the mahi mahi on saffron risotto yum !,2
mahi mahi on saffron risotto,i really like both the scallops and the mahi mahi on saffron risotto yum !,i really like both the scallops and the MASK yum !,2
chicken and mashed potatos,my friend devoured her chicken and mashed potatos,my friend devoured her MASK,2
crab cakes,delicious crab cakes too,delicious MASK too,2
garden,"even if the food was n't this good , the garden is a great place to sit outside and relax","even if the food was n't this good , the MASK is a great place to sit outside and relax",2
food,"even if the food was n't this good , the garden is a great place to sit outside and relax","even if the MASK was n't this good , the garden is a great place to sit outside and relax",2
joint,great neighborhood joint,great neighborhood MASK,2
selection of thin crust pizza,this is a nice pizza place with good selection of thin crust pizza including the basil slice,this is a nice pizza place with good MASK including the basil slice,2
selection of thin crust pizza,this is a nice pizza place with good selection of thin crust pizza including the basil slice,this is a nice pizza place with good MASK including the basil slice,2
pizza place,this is a nice pizza place with good selection of thin crust pizza including the basil slice,this is a nice MASK with good selection of thin crust pizza including the basil slice,2
basil slice,this is a nice pizza place with good selection of thin crust pizza including the basil slice,this is a nice pizza place with good selection of thin crust pizza including the MASK,2
calzones,"their calzones are horrific , bad , , yuck","their MASK are horrific , bad , , yuck",0
counter service,the counter service is bad,the MASK is bad,0
pizza 33,no pizza 33 for me !,no MASK for me !,0
dosas,"the dosas are skimpy , unattractive and drip with grease , and personally i 'd drink popcorn topping before i 'd eat another one of these","the MASK are skimpy , unattractive and drip with grease , and personally i 'd drink popcorn topping before i 'd eat another one of these",0
dosas,"the dosas are skimpy , unattractive and drip with grease , and personally i 'd drink popcorn topping before i 'd eat another one of these","the MASK are skimpy , unattractive and drip with grease , and personally i 'd drink popcorn topping before i 'd eat another one of these",0
sandwiches,"the sandwiches are dry , tasteless and way overpriced","the MASK are dry , tasteless and way overpriced",0
sandwiches,"the sandwiches are dry , tasteless and way overpriced","the MASK are dry , tasteless and way overpriced",0
place,"calling the place hampton chutney does warn you that these folks offer more style than substance , but in this unattractive room with unhelpful clerks there was a dearth of the former too","calling the MASK hampton chutney does warn you that these folks offer more style than substance , but in this unattractive room with unhelpful clerks there was a dearth of the former too",0
room,"calling the place hampton chutney does warn you that these folks offer more style than substance , but in this unattractive room with unhelpful clerks there was a dearth of the former too","calling the place hampton chutney does warn you that these folks offer more style than substance , but in this unattractive MASK with unhelpful clerks there was a dearth of the former too",0
clerks,"calling the place hampton chutney does warn you that these folks offer more style than substance , but in this unattractive room with unhelpful clerks there was a dearth of the former too","calling the place hampton chutney does warn you that these folks offer more style than substance , but in this unattractive room with unhelpful MASK there was a dearth of the former too",0
place,"seriously , this place kicks ass","seriously , this MASK kicks ass",2
atmosphere,"the atmosphere is unheralded , the service impecible , and the food magnificant","the MASK is unheralded , the service impecible , and the food magnificant",2
service,"the atmosphere is unheralded , the service impecible , and the food magnificant","the atmosphere is unheralded , the MASK impecible , and the food magnificant",2
food,"the atmosphere is unheralded , the service impecible , and the food magnificant","the atmosphere is unheralded , the service impecible , and the MASK magnificant",2
italian food,"best italian food i ever had and being italian , that means alot","best MASK i ever had and being italian , that means alot",2
place,"this is such a lovely , peaceful place to eat outside","this is such a lovely , peaceful MASK to eat outside",2
restaurant,the restaurant looks out over beautiful green lawns to the hudson river and the statue of liberty,the MASK looks out over beautiful green lawns to the hudson river and the statue of liberty,2
food,"the food is good , especially their more basic dishes , and the drinks are delicious","the MASK is good , especially their more basic dishes , and the drinks are delicious",2
basic dishes,"the food is good , especially their more basic dishes , and the drinks are delicious","the food is good , especially their more MASK , and the drinks are delicious",2
drinks,"the food is good , especially their more basic dishes , and the drinks are delicious","the food is good , especially their more basic dishes , and the MASK are delicious",2
place,"this is a great place to take , and perfect for watching the sunset","this is a great MASK to take , and perfect for watching the sunset",2
sushi,great sushi experience,great MASK experience,2
apppetizers,unique apppetizers,unique MASK,2
sushimi cucumber roll,try sushimi cucumber roll,try MASK,2
spreads,"good spreads , great beverage selections and bagels really tasty","good MASK , great beverage selections and bagels really tasty",2
beverage selections,"good spreads , great beverage selections and bagels really tasty","good spreads , great MASK and bagels really tasty",2
bagels,"good spreads , great beverage selections and bagels really tasty","good spreads , great beverage selections and MASK really tasty",2
service,but who says murray 's is anything about service,but who says murray 's is anything about MASK,0
service,the service is awful,the MASK is awful,0
place,this place is not worth the prices,this MASK is not worth the prices,0
place,this place is not worth the prices,this MASK is not worth the prices,0
pizza 33,love pizza 33,love MASK,2
pizza,i will be out with friends and all of a sudden i am hungry and i only crave one thing their pizza,i will be out with friends and all of a sudden i am hungry and i only crave one thing their MASK,2
williamsburg spot,this tiny williamsburg spot is always pleasantly surprising,this tiny MASK is always pleasantly surprising,2
pizza,the pizza is delicious and the proprietor is one of the nicest in nyc,the MASK is delicious and the proprietor is one of the nicest in nyc,2
proprietor,the pizza is delicious and the proprietor is one of the nicest in nyc,the pizza is delicious and the MASK is one of the nicest in nyc,2
cream cheeses,the cream cheeses are out of this world and i love that coffee ! !,the MASK are out of this world and i love that coffee ! !,2
coffee,the cream cheeses are out of this world and i love that coffee ! !,the cream cheeses are out of this world and i love that MASK ! !,2
bagels,"bagels are ok , but be sure not to make any special requests !","MASK are ok , but be sure not to make any special requests !",1
manager,i asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere !,i asked for an open faced cheese sandwich and the MASK basically told me to take my business elsewhere !,0
bagels,be sure not to get anything other than bagels !,be sure not to get anything other than MASK !,2
turkey burgers,the turkey burgers are scary !,the MASK are scary !,0
japanese food,the worst excuse for japanese food i ' ve ever encountered,the worst excuse for MASK i ' ve ever encountered,0
soup for the udon,the soup for the udon was soy sauce and water,the MASK was soy sauce and water,0
sushi,the sushi was awful !,the MASK was awful !,0
rice,the rice was poor quality and was cooked so badly it was hard,the MASK was poor quality and was cooked so badly it was hard,0
rice,"furthermore , the rice had no seasoning , so the sushi was bland and disgusting","furthermore , the MASK had no seasoning , so the sushi was bland and disgusting",0
sushi,"furthermore , the rice had no seasoning , so the sushi was bland and disgusting","furthermore , the rice had no seasoning , so the MASK was bland and disgusting",0
fish,"the fish was adequate , but inexpertly sliced","the MASK was adequate , but inexpertly sliced",0
japanese cuisine,it is obvious that no one in the restaurant has any idea about or experience with japanese cuisine,it is obvious that no one in the restaurant has any idea about or experience with MASK,0
service,"good , fast service","good , fast MASK",2
food,food is great and inexpensive,MASK is great and inexpensive,2
food,food is great and inexpensive,MASK is great and inexpensive,2
location,the location is perfect,the MASK is perfect,2
place,"well , this place is so ghetto its not even funny","well , this MASK is so ghetto its not even funny",0
bottle minimun,if you like your music blasted and the system is nt that great and if you want to pay at least 100 dollar bottle minimun then you 'll love it here,if you like your music blasted and the system is nt that great and if you want to pay at least 100 dollar MASK then you 'll love it here,0
music,if you like your music blasted and the system is nt that great and if you want to pay at least 100 dollar bottle minimun then you 'll love it here,if you like your MASK blasted and the system is nt that great and if you want to pay at least 100 dollar bottle minimun then you 'll love it here,0
pizza,awsome pizza especially the margheritta slice,awsome MASK especially the margheritta slice,2
margheritta slice,awsome pizza especially the margheritta slice,awsome pizza especially the MASK,2
atmoshere,great atmoshere and worth every bit,great MASK and worth every bit,2
staff,winnie and her staff are the best crew you can find serving you,winnie and her MASK are the best crew you can find serving you,2
winnie,winnie and her staff are the best crew you can find serving you,MASK and her staff are the best crew you can find serving you,2
food,the food is reliable and the price is moderate,the MASK is reliable and the price is moderate,2
thai food,"for authentic thai food , look no further than toons","for authentic MASK , look no further than toons",2
pad thai,"try the pad thai , or sample anything on the appetizer menu they 're all delicious","try the MASK , or sample anything on the appetizer menu they 're all delicious",2
appetizer menu,"try the pad thai , or sample anything on the appetizer menu they 're all delicious","try the pad thai , or sample anything on the MASK they 're all delicious",2
restaurant,everything about this restaurant was special,everything about this MASK was special,2
service,"the service was attentive , yet discreet","the MASK was attentive , yet discreet",2
brioche and lollies,the brioche and lollies as party favors is a cute and sweet touch to a most memorable meal,the MASK as party favors is a cute and sweet touch to a most memorable meal,2
place,the place was quiet and delightful,the MASK was quiet and delightful,2
service,service was good and food is wonderful,MASK was good and food is wonderful,2
food,service was good and food is wonderful,service was good and MASK is wonderful,2
salmon,i did not try the caviar but i tried their salmon and crab salad they are all good,i did not try the caviar but i tried their MASK and crab salad they are all good,2
crab salad,i did not try the caviar but i tried their salmon and crab salad they are all good,i did not try the caviar but i tried their salmon and MASK they are all good,2
spot,it is definitely a good spot for snacks and chat,it is definitely a good MASK for snacks and chat,2
lucky strike,"as a retired hipster , i can say with some degree of certainty that for the last year lucky strike has been the best late night in the city","as a retired hipster , i can say with some degree of certainty that for the last year MASK has been the best late night in the city",2
wait staff,"the wait staff is pleasant , fun , and for the most part gorgeous in the wonderful aesthetic beautification way , not in that way","the MASK is pleasant , fun , and for the most part gorgeous in the wonderful aesthetic beautification way , not in that way",2
food,"the food is yummy , especially their mussels in spicy tomato sauce and their shoestring crispy fries","the MASK is yummy , especially their mussels in spicy tomato sauce and their shoestring crispy fries",2
mussels in spicy tomato sauce,"the food is yummy , especially their mussels in spicy tomato sauce and their shoestring crispy fries","the food is yummy , especially their MASK and their shoestring crispy fries",2
fries,"the food is yummy , especially their mussels in spicy tomato sauce and their shoestring crispy fries","the food is yummy , especially their mussels in spicy tomato sauce and their shoestring crispy MASK",2
late night atmosphere,"but the best part about ls is the late night atmosphere , delightfully free of the bts","but the best part about ls is the MASK , delightfully free of the bts",2
martini,"you can get a completely delish martini in a glass that 's about 2 drinks for 8.50 i recommend the vanilla shanty , mmmm ! in a great homey setting with great music","you can get a completely delish MASK in a glass that 's about 2 drinks for 8.50 i recommend the vanilla shanty , mmmm ! in a great homey setting with great music",2
martini,"you can get a completely delish martini in a glass that 's about 2 drinks for 8.50 i recommend the vanilla shanty , mmmm ! in a great homey setting with great music","you can get a completely delish MASK in a glass that 's about 2 drinks for 8.50 i recommend the vanilla shanty , mmmm ! in a great homey setting with great music",2
martini,"you can get a completely delish martini in a glass that 's about 2 drinks for 8.50 i recommend the vanilla shanty , mmmm ! in a great homey setting with great music","you can get a completely delish MASK in a glass that 's about 2 drinks for 8.50 i recommend the vanilla shanty , mmmm ! in a great homey setting with great music",2
vanilla shanty,"you can get a completely delish martini in a glass that 's about 2 drinks for 8.50 i recommend the vanilla shanty , mmmm ! in a great homey setting with great music","you can get a completely delish martini in a glass that 's about 2 drinks for 8.50 i recommend the MASK , mmmm ! in a great homey setting with great music",2
setting,"you can get a completely delish martini in a glass that 's about 2 drinks for 8.50 i recommend the vanilla shanty , mmmm ! in a great homey setting with great music","you can get a completely delish martini in a glass that 's about 2 drinks for 8.50 i recommend the vanilla shanty , mmmm ! in a great homey MASK with great music",2
music,"you can get a completely delish martini in a glass that 's about 2 drinks for 8.50 i recommend the vanilla shanty , mmmm ! in a great homey setting with great music","you can get a completely delish martini in a glass that 's about 2 drinks for 8.50 i recommend the vanilla shanty , mmmm ! in a great homey setting with great MASK",2
lady dj,"the lady dj on saturday nights has outrageously good taste in music , and moreover , takes requests","the MASK on saturday nights has outrageously good taste in music , and moreover , takes requests",2
place,you ca n't go wrong with this place,you ca n't go wrong with this MASK,2
suan,suan is a great place that i often take my friends classmates too,MASK is a great place that i often take my friends classmates too,2
location,"its location is good and the fact that hutner college is near and their prices are very reasonable , makes students go back to suan again and again","its MASK is good and the fact that hutner college is near and their prices are very reasonable , makes students go back to suan again and again",2
suan,"its location is good and the fact that hutner college is near and their prices are very reasonable , makes students go back to suan again and again","its location is good and the fact that hutner college is near and their prices are very reasonable , makes students go back to MASK again and again",2
thai,i love their thai,i love their MASK,2
noodles with shrimp and chicken and coconut juice,noodles with shrimp and chicken and coconut juice is the must !,MASK is the must !,2
suan,i will go back to suan soon !,i will go back to MASK soon !,2
terrace,in outside on a terrace another great feature of suan ! ! !,in outside on a MASK another great feature of suan ! ! !,2
staff,i can not imagine a friendlier staff working in a restaurant,i can not imagine a friendlier MASK working in a restaurant,2
indian food,i can not imagine better indian food in all of the city,i can not imagine better MASK in all of the city,2
chef,"during the course of the past 3 months , the chef and staff changed and it was not for the better","during the course of the past 3 months , the MASK and staff changed and it was not for the better",0
staff,"during the course of the past 3 months , the chef and staff changed and it was not for the better","during the course of the past 3 months , the chef and MASK changed and it was not for the better",0
food,the food now is inconsistent,the MASK now is inconsistent,0
place,this is the kind of place you 'd like to take all your friends to and still keep a secret,this is the kind of MASK you 'd like to take all your friends to and still keep a secret,2
setting,the setting is casual and romantic,the MASK is casual and romantic,2
food,the food is excellent !,the MASK is excellent !,2
balsamic vinegar over icecream,"if you 're daring , try the balsamic vinegar over icecream , it 's wonderful !","if you 're daring , try the MASK , it 's wonderful !",2
go go hamburgers,"do not get the go go hamburgers , no matter what the reviews say","do not get the MASK , no matter what the reviews say",0
wait,"the wait here is long for dim sum , but if you do n't like sharing tables or if the typical raucous dim sum atmosphere is not your gig , this is a sleek for chinatown alternative","the MASK here is long for dim sum , but if you do n't like sharing tables or if the typical raucous dim sum atmosphere is not your gig , this is a sleek for chinatown alternative",0
atmosphere,"the wait here is long for dim sum , but if you do n't like sharing tables or if the typical raucous dim sum atmosphere is not your gig , this is a sleek for chinatown alternative","the wait here is long for dim sum , but if you do n't like sharing tables or if the typical raucous dim sum MASK is not your gig , this is a sleek for chinatown alternative",0
turnip cake,"a few tips skip the turnip cake , roast pork buns and egg custards","a few tips skip the MASK , roast pork buns and egg custards",0
roast pork buns,"a few tips skip the turnip cake , roast pork buns and egg custards","a few tips skip the turnip cake , MASK and egg custards",0
egg custards,"a few tips skip the turnip cake , roast pork buns and egg custards","a few tips skip the turnip cake , roast pork buns and MASK",0
food,the food was exceptional,the MASK was exceptional,2
braised lamb shank in red wine,"i choose to go with one of the special , the braised lamb shank in red wine , which was excellent","i choose to go with one of the special , the MASK , which was excellent",2
service,the service was friendly and the atmosphere was casual,the MASK was friendly and the atmosphere was casual,2
atmosphere,the service was friendly and the atmosphere was casual,the service was friendly and the MASK was casual,1
meal,the restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,the restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great MASK,2
restaurant,the restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,the MASK is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,1
interior decor,this little place has a cute interior decor and affordable city prices,this little place has a cute MASK and affordable city prices,2
place,this little place has a cute interior decor and affordable city prices,this little MASK has a cute interior decor and affordable city prices,2
pad se ew chicken,"the pad se ew chicken was delicious , however the pad thai was far too oily","the MASK was delicious , however the pad thai was far too oily",2
pad thai,"the pad se ew chicken was delicious , however the pad thai was far too oily","the pad se ew chicken was delicious , however the MASK was far too oily",0
ginger house,"have eaten at ginger house several times , and it 's always good","have eaten at MASK several times , and it 's always good",2
fried dumplings,the fried dumplings are great !,the MASK are great !,2
chinese restaurant,finally a reliable chinese restaurant !,finally a reliable MASK !,2
customer service,this place would be so much better served by being run by a group that actually understands customer service,this place would be so much better served by being run by a group that actually understands MASK,0
management,"terrible , terrible management deserves to be","terrible , terrible MASK deserves to be",0
bagels,"delicious bagels , especially when right out of the oven","delicious MASK , especially when right out of the oven",2
service,service is fast and friendly,MASK is fast and friendly,2
food,"the food is decent at best , and the ambience , well , it 's a matter of opinion , some may consider it to be a sweet thing , i thought it was just annoying","the MASK is decent at best , and the ambience , well , it 's a matter of opinion , some may consider it to be a sweet thing , i thought it was just annoying",0
ambience,"the food is decent at best , and the ambience , well , it 's a matter of opinion , some may consider it to be a sweet thing , i thought it was just annoying","the food is decent at best , and the MASK , well , it 's a matter of opinion , some may consider it to be a sweet thing , i thought it was just annoying",0
rao,"rao is a good restaurant , but it 's nothing special","MASK is a good restaurant , but it 's nothing special",1
indian cuisine,"but after last night , spice grill is the only place i ' m eating indian cuisine","but after last night , spice grill is the only place i ' m eating MASK",2
shrimp appetizers,you must try the shrimp appetizers,you must try the MASK,2
ambience,this place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time,this place has the the correct MASK and an excellent staff to make you feel like a guest and a friend at the same time,2
staff,this place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time,this place has the the correct ambience and an excellent MASK to make you feel like a guest and a friend at the same time,2
food,"great food , great prices , great service","great MASK , great prices , great service",2
service,"great food , great prices , great service","great food , great prices , great MASK",2
eats,"if you are looking for a good quality , cheap eats this is the place","if you are looking for a good quality , cheap MASK this is the place",2
eats,"if you are looking for a good quality , cheap eats this is the place","if you are looking for a good quality , cheap MASK this is the place",2
indian food,it 's a perfect place to have a amanzing indian food,it 's a perfect place to have a amanzing MASK,2
cheff,i really loved the different and inovated touch that 's the cheff gives to the food,i really loved the different and inovated touch that 's the MASK gives to the food,2
place,"also it 's great to have dinner in a very romantic and confortable place , the service it 's just perfect they 're so frendly that we never want to live the place !","also it 's great to have dinner in a very romantic and confortable MASK , the service it 's just perfect they 're so frendly that we never want to live the place !",2
service,"also it 's great to have dinner in a very romantic and confortable place , the service it 's just perfect they 're so frendly that we never want to live the place !","also it 's great to have dinner in a very romantic and confortable place , the MASK it 's just perfect they 're so frendly that we never want to live the place !",2
bagels,"their bagels are fine , but they are a little overcooked , and not really a ' special ' bagel experience","their MASK are fine , but they are a little overcooked , and not really a ' special ' bagel experience",0
bagels,great bagels made the way,great MASK made the way,2
bagels,great bagels made the way,great MASK made the way,2
service,drawbacks service is slow and they do n't toast !,drawbacks MASK is slow and they do n't toast !,0
food,the food was absolutely amazing ! !,the MASK was absolutely amazing ! !,2
baked clams octopus,the baked clams octopus we shared as appetizers were the best we ' ve ever had ! !,the MASK we shared as appetizers were the best we ' ve ever had ! !,2
lamb,"the lamb was tender so full of flavor , the dessert was divine ! !","the MASK was tender so full of flavor , the dessert was divine ! !",2
dessert,"the lamb was tender so full of flavor , the dessert was divine ! !","the lamb was tender so full of flavor , the MASK was divine ! !",2
waiter,the waiter was attentive,the MASK was attentive,2
place,the place itself is beautiful the bar scene seems to be happening,the MASK itself is beautiful the bar scene seems to be happening,2
bar scene,the place itself is beautiful the bar scene seems to be happening,the place itself is beautiful the MASK seems to be happening,2
appetizers,"downtown dinner 2002 prixe fix appetizers were ok , waiter gave me poor the potato stuff kanish best one","downtown dinner 2002 prixe fix MASK were ok , waiter gave me poor the potato stuff kanish best one",1
